longitude,latitude
76.63989,8.8432
76.85594,8.65339
76.63987,8.87118
76.59063,9.1423
76.78992,9.03254
75.3077,11.99097
75.40212,11.85362
75.45302,11.83404
76.6324,8.87206
76.62707,9.13477
75.16002,12.2205
75.51593,11.83463
72.935583,19.138718
75.49056,11.78479
76.85761,8.65164
76.54921,9.19233
75.16642,12.2251
75.37036,11.86648
77.05283,8.34323
77.06599,8.34075
76.35041,10.09764
75.43737,11.81579
76.78966,9.03267
75.24629,12.03863
75.47942,11.7677
76.78965,9.03254
76.64564,8.86771
75.16645,12.22169
76.497,9.57622
76.64973,8.85088
75.37112,11.87354
75.18794,12.17549
76.31838,9.99053
75.516,11.83286
76.61908,8.87465
76.41506,9.77059
76.65841,9.12199
77.07312,8.45567
75.90909,11.06522
73.02988,18.97713
76.43267,9.77606
76.60425,8.88015
76.60822,8.87871
76.65881,8.88142
76.42904,9.76715
76.60591,8.87962
76.26094,10.09134
77.0731,8.45567
76.63021,8.8733
76.60083,9.17616
76.60039,9.20339
76.64275,8.84184
76.53879,9.60517
72.8574,19.22905
77.07302,8.45458
76.61778,8.87578
75.12661,12.22758
76.43325,9.76907
76.63902,8.87173
76.61746,9.15861
76.62711,8.87474
76.61142,8.8775
76.66871,8.86598
76.43207,9.76939
75.16895,12.22263
76.49074,9.76794
76.64143,8.87311
76.64124,8.87045
76.33895,9.49663
76.60684,8.87942
76.85494,8.65031
76.64934,8.83206
76.4259,9.77485
77.07285,8.45519
76.64286,8.87021
76.64919,8.8781
76.86372,8.65487
76.78907,9.0793
76.39267,9.79789
76.61954,8.87298
76.44449,9.78619
76.46021,9.78299
76.42588,9.77482
75.90198,11.07438
76.64671,8.82761
75.90912,10.79492
76.43172,9.78176
77.07145,8.45667
77.07017,8.44922
76.61836,8.87242
76.63955,8.87161
76.44159,9.76935
76.43249,9.78032
77.0714,8.45656
77.07285,8.45493
73.02948,18.97836
76.44959,9.78499
77.07134,8.45676
76.4054,9.75868
76.42926,9.77555
75.15759,12.21277
75.16274,12.21661
77.07287,8.47192
76.22344,10.02674
76.46072,9.29916
76.3499,10.03942
72.86048,19.25117
77.07294,8.45489
76.54032,9.58119
76.65195,8.86591
76.2293,10.01182
75.40785,11.86225
77.07308,8.45569
77.07336,8.45511
76.2477,10.12654
76.3423,9.99389
76.33346,10.85906
76.67595,9.19982
76.00886,11.00183
75.99138,10.93832
76.33724,10.00274
75.78699,11.25276
76.01772,11.00543
76.23131,11.01761
73.02899,18.97781
75.79132,11.28393
76.32142,10.00305
75.99351,10.93829
74.900339,12.698238
76.5051,9.59296
76.25033,9.98979
76.0014,10.95111
76.86067,8.64218
75.99137,10.93837
75.9817,10.94547
76.0035,11.0016
74.871794,12.793829
76.444292,10.064712
76.099533,10.421575
76.175227,10.559991
76.57441,9.25625
72.971593,19.194256
75.966384,10.808503
76.703881,8.742229
76.2363,9.99733
76.65334,8.86519
76.65067,8.86605
76.64748,8.86746
76.64026,8.87091
76.64186,8.8697
76.91947,8.47484
73.976175,15.216453
76.46243,10.12834
73.02002,19.03246
76.9211,8.4728
75.40505,11.86741
75.81405,11.23656
72.84935,19.1646
75.39609,11.87092
76.03629,10.87012
72.954427,19.174061
75.38459,11.87449
75.41324,11.85558
76.37989,10.18311
76.01718,11.00596
76.75744,8.78844
76.94846,8.44095
75.99462,11.00191
75.99176,10.99897
73.972639,15.232872
76.75808,8.78794
76.75862,8.75683
77.06979,8.45723
76.7428,8.78116
77.07306,8.45571
75.9659,10.92056
76.80373,8.74337
75.6242,11.62198
75.61673,11.61692
76.5916,9.38221
75.84185,11.46137
72.84197,19.01034
75.8684,11.39894
73.02114,19.03471
76.593,9.38137
77.07241,8.47179
73.818258,15.49509
76.81366,8.69822
75.78423,11.532
76.81377,8.71801
72.8666,19.26322
76.72605,8.76044
75.62854,11.61534
75.79006,11.50855
77.0432,8.5533
75.37206,11.87737
75.42766,11.82205
77.07062,8.46684
