                                                  Brahmaputra_Valley_semi_evergreen_forests.wkt	Western_Himalayan_broadleaf_forests.wkt	Northeast_Himalayan_subalpine_conifer_forests.wkt	South_Western_Ghats_montane_rain_forests.wkt	Narmada_Valley_dry_deciduous_forests.wkt	Mizoram_Manipur_Kachin_rain_forests.wkt	Khathiar_Gir_dry_deciduous_forests.wkt	Aravalli_west_thorn_scrub_forests.wkt	Maldives_Lakshadweep_Chagos_Archipelago_tropical_moist_forests.wkt	East_Deccan_moist_deciduous_forests.wkt	East_Deccan_dry_evergreen_forests.wkt	Central_Deccan_Plateau_dry_deciduous_forests.wkt	Eastern_Himalayan_broadleaf_forests.wkt	Central_Tibetan_Plateau_alpine_steppe.wkt	Terai_Duar_savanna_and_grasslands.wkt	Nicobar_Islands_rain_forests.wkt	Eastern_Himalayan_alpine_shrub_and_meadows.wkt	North_Western_Ghats_montane_rain_forests.wkt	Chhota_Nagpur_dry_deciduous_forests.wkt	Rann_of_Kutch_seasonal_salt_marsh.wkt	Northwestern_Himalayan_alpine_shrub_and_meadows.wkt	Upper_Gangetic_Plains_moist_deciduous_forests.wkt	North_Deccan_dry_deciduous_forests.wkt	Northeast_India_Myanmar_pine_forests.wkt	Sundarbans_mangroves.wkt	Karakoram_West_Tibetan_Plateau_alpine_steppe.wkt	Baluchistan_xeric_woodlands.wkt	Indus_River_Delta_Arabian_Sea_mangroves.wkt	Meghalaya_subtropical_forests.wkt	Chin_Hills_Arakan_Yoma_montane_forests.wkt	North_Western_Ghats_moist_deciduous_forests.wkt	Northern_Triangle_temperate_forests.wkt	Malabar_Coast_moist_forests.wkt	Andaman_Islands_rain_forests.wkt	Western_Himalayan_alpine_shrub_and_meadows.wkt	Eastern_Himalayan_subalpine_conifer_forests.wkt	Deccan_thorn_scrub_forests.wkt	Western_Himalayan_subalpine_conifer_forests.wkt	Lower_Gangetic_Plains_moist_deciduous_forests.wkt	South_Western_Ghats_moist_deciduous_forests.wkt	Thar_desert.wkt	Godavari_Krishna_mangroves.wkt	North_Tibetan_Plateau_Kunlun_Mountains_alpine_desert.wkt	Himalayan_subtropical_broadleaf_forests.wkt	South_Deccan_Plateau_dry_deciduous_forests.wkt	Orissa_semi_evergreen_forests.wkt	Sundarbans_freshwater_swamp_forests.wkt	Himalayan_subtropical_pine_forests.wkt
Northwestern_Himalayan_alpine_shrub_and_meadows.wkt	0.1090	0.2000	0.2784	0.0952	0.1032	0.1097	0.1044	0.1081	0.0824	0.1029	0.0890	0.0973	0.1463	0.3014	0.1109	0.0809	0.2788	0.0937	0.1073	0.1006	1.0000	0.1077	0.1021	0.1311	0.1011	0.3630	0.1338	0.0984	0.1112	0.1125	0.0940	0.1406	0.0861	0.0840	0.3203	0.2098	0.0938	0.2139	0.1046	0.0906	0.1066	0.0912	0.2557	0.1233	0.0924	0.0969	0.1025	0.1428
Upper_Gangetic_Plains_moist_deciduous_forests.wkt 	0.2758	0.1749	0.1212	0.1761	0.4229	0.2545	0.4792	0.5802	0.1435	0.3512	0.2106	0.3115	0.2046	0.0953	0.3907	0.1375	0.1154	0.1970	0.4469	0.4573	0.1077	1.0000	0.3575	0.2142	0.2621	0.0941	0.2929	0.3165	0.2437	0.2269	0.2119	0.2036	0.1704	0.1535	0.1092	0.1466	0.2406	0.1740	0.3456	0.1794	0.4571	0.2287	0.0898	0.2968	0.2054	0.2580	0.2971	0.2545
North_Deccan_dry_deciduous_forests.wkt            	0.3559	0.1679	0.1177	0.2363	0.4817	0.3511	0.4805	0.3204	0.1800	0.7865	0.3041	0.5193	0.2137	0.0908	0.4202	0.1688	0.1127	0.2780	0.5836	0.4165	0.1021	0.3575	1.0000	0.2431	0.4009	0.0889	0.2173	0.4415	0.3062	0.3051	0.3108	0.2160	0.2286	0.1996	0.1069	0.1454	0.3699	0.1618	0.5352	0.2454	0.2891	0.3473	0.0849	0.3194	0.2956	0.4258	0.4615	0.2466
Northeast_India_Myanmar_pine_forests.wkt          	0.3337	0.2642	0.1649	0.2336	0.2286	0.3743	0.2284	0.2042	0.1625	0.2493	0.1972	0.2215	0.5136	0.1138	0.2885	0.1566	0.1563	0.2273	0.2502	0.2092	0.1311	0.2142	0.2431	1.0000	0.2684	0.1093	0.2025	0.2209	0.3744	0.3943	0.2307	0.5120	0.1899	0.1786	0.1469	0.2339	0.2195	0.2333	0.2744	0.2103	0.1911	0.2059	0.1031	0.4102	0.2167	0.2387	0.2694	0.3948
Sundarbans_mangroves.wkt                          	0.4642	0.1675	0.1168	0.2947	0.3180	0.4552	0.3108	0.2372	0.2130	0.4211	0.3417	0.3736	0.2254	0.0894	0.3531	0.1971	0.1122	0.3325	0.3569	0.2774	0.1011	0.2621	0.4009	0.2684	1.0000	0.0875	0.1849	0.3592	0.4040	0.3717	0.3665	0.2358	0.2801	0.2483	0.1073	0.1465	0.3732	0.1578	0.4850	0.3012	0.2161	0.3819	0.0833	0.3153	0.3357	0.4881	0.5752	0.2439
Karakoram_West_Tibetan_Plateau_alpine_steppe.wkt  	0.0936	0.1522	0.2193	0.0828	0.0901	0.0940	0.0912	0.0949	0.0728	0.0894	0.0782	0.0852	0.1202	0.4046	0.0958	0.0714	0.2249	0.0821	0.0931	0.0886	0.3630	0.0941	0.0889	0.1093	0.0875	1.0000	0.1151	0.0858	0.0952	0.0959	0.0823	0.1160	0.0759	0.0741	0.2438	0.1636	0.0822	0.1618	0.0906	0.0793	0.0943	0.0800	0.4084	0.1046	0.0809	0.0844	0.0888	0.1177
Baluchistan_xeric_woodlands.wkt                   	0.2036	0.2197	0.1481	0.1436	0.2387	0.1953	0.2522	0.3095	0.1189	0.2180	0.1528	0.1996	0.2136	0.1156	0.2473	0.1141	0.1398	0.1516	0.2518	0.2386	0.1338	0.2929	0.2173	0.2025	0.1849	0.1151	1.0000	0.1991	0.1934	0.1848	0.1582	0.2065	0.1326	0.1232	0.1310	0.1754	0.1709	0.2326	0.2158	0.1417	0.2972	0.1607	0.1086	0.2494	0.1560	0.1765	0.1993	0.2682
Indus_River_Delta_Arabian_Sea_mangroves.wkt       	0.3056	0.1571	0.1118	0.2448	0.4294	0.3073	0.4009	0.2801	0.1856	0.4613	0.3505	0.4747	0.1943	0.0872	0.3269	0.1758	0.1074	0.2852	0.3913	0.3717	0.0984	0.3165	0.4415	0.2209	0.3592	0.0858	0.1991	1.0000	0.2705	0.2855	0.3231	0.1954	0.2436	0.2097	0.1025	0.1369	0.4176	0.1513	0.4129	0.2624	0.2522	0.3912	0.0816	0.2681	0.3258	0.4216	0.4027	0.2193
Meghalaya_subtropical_forests.wkt                 	0.5898	0.1962	0.1320	0.2666	0.2696	0.5721	0.2678	0.2243	0.1850	0.3145	0.2461	0.2768	0.3038	0.0979	0.3707	0.1763	0.1262	0.2775	0.3020	0.2415	0.1112	0.2437	0.3062	0.3744	0.4040	0.0952	0.1934	0.2705	1.0000	0.4188	0.2891	0.3304	0.2330	0.2140	0.1199	0.1722	0.2716	0.1815	0.3862	0.2499	0.2058	0.2609	0.0904	0.4197	0.2600	0.3142	0.3839	0.3045
Chin_Hills_Arakan_Yoma_montane_forests.wkt        	0.3877	0.1987	0.1355	0.3236	0.2698	0.5379	0.2611	0.2099	0.1955	0.3176	0.2679	0.2836	0.2947	0.0989	0.3084	0.1857	0.1298	0.3265	0.2888	0.2363	0.1125	0.2269	0.3051	0.3943	0.3717	0.0959	0.1848	0.2855	0.4188	1.0000	0.3354	0.3016	0.2540	0.2302	0.1235	0.1782	0.3033	0.1820	0.3441	0.2886	0.1947	0.2839	0.0907	0.3545	0.3021	0.3368	0.3556	0.2860
