                                                  Brahmaputra_Valley_semi_evergreen_forests.wkt	Western_Himalayan_broadleaf_forests.wkt	Northeast_Himalayan_subalpine_conifer_forests.wkt	South_Western_Ghats_montane_rain_forests.wkt	Narmada_Valley_dry_deciduous_forests.wkt	Mizoram_Manipur_Kachin_rain_forests.wkt	Khathiar_Gir_dry_deciduous_forests.wkt	Aravalli_west_thorn_scrub_forests.wkt	Maldives_Lakshadweep_Chagos_Archipelago_tropical_moist_forests.wkt	East_Deccan_moist_deciduous_forests.wkt	East_Deccan_dry_evergreen_forests.wkt	Central_Deccan_Plateau_dry_deciduous_forests.wkt	Eastern_Himalayan_broadleaf_forests.wkt	Central_Tibetan_Plateau_alpine_steppe.wkt	Terai_Duar_savanna_and_grasslands.wkt	Nicobar_Islands_rain_forests.wkt	Eastern_Himalayan_alpine_shrub_and_meadows.wkt	North_Western_Ghats_montane_rain_forests.wkt	Chhota_Nagpur_dry_deciduous_forests.wkt	Rann_of_Kutch_seasonal_salt_marsh.wkt	Northwestern_Himalayan_alpine_shrub_and_meadows.wkt	Upper_Gangetic_Plains_moist_deciduous_forests.wkt	North_Deccan_dry_deciduous_forests.wkt	Northeast_India_Myanmar_pine_forests.wkt	Sundarbans_mangroves.wkt	Karakoram_West_Tibetan_Plateau_alpine_steppe.wkt	Baluchistan_xeric_woodlands.wkt	Indus_River_Delta_Arabian_Sea_mangroves.wkt	Meghalaya_subtropical_forests.wkt	Chin_Hills_Arakan_Yoma_montane_forests.wkt	North_Western_Ghats_moist_deciduous_forests.wkt	Northern_Triangle_temperate_forests.wkt	Malabar_Coast_moist_forests.wkt	Andaman_Islands_rain_forests.wkt	Western_Himalayan_alpine_shrub_and_meadows.wkt	Eastern_Himalayan_subalpine_conifer_forests.wkt	Deccan_thorn_scrub_forests.wkt	Western_Himalayan_subalpine_conifer_forests.wkt	Lower_Gangetic_Plains_moist_deciduous_forests.wkt	South_Western_Ghats_moist_deciduous_forests.wkt	Thar_desert.wkt	Godavari_Krishna_mangroves.wkt	North_Tibetan_Plateau_Kunlun_Mountains_alpine_desert.wkt	Himalayan_subtropical_broadleaf_forests.wkt	South_Deccan_Plateau_dry_deciduous_forests.wkt	Orissa_semi_evergreen_forests.wkt	Sundarbans_freshwater_swamp_forests.wkt	Himalayan_subtropical_pine_forests.wkt
Northwestern_Himalayan_alpine_shrub_and_meadows.wkt	0.4758	0.9587	0.9677	0.0250	0.3758	0.5027	0.4008	0.4830	-0.5104	0.3523	-0.1148	0.2307	0.8587	0.9808	0.5017	-0.3964	0.9650	0.0163	0.4435	0.3463	1.0000	0.4689	0.3392	0.7990	0.2894	0.9966	0.7157	0.2492	0.5212	0.5938	0.0399	0.8295	-0.3258	-0.5097	0.9767	0.9586	0.0803	0.9565	0.3875	-0.1636	0.4748	-0.0297	0.9835	0.6708	-0.0269	0.1690	0.3356	0.8136
Upper_Gangetic_Plains_moist_deciduous_forests.wkt 	0.9160	0.6644	0.4605	0.5793	0.9777	0.9107	0.9866	0.9942	0.1589	0.9731	0.7629	0.9345	0.7282	0.4451	0.9713	0.1651	0.4178	0.7194	0.9901	0.9782	0.4689	1.0000	0.9705	0.7637	0.9288	0.4591	0.9331	0.9472	0.8603	0.8701	0.7902	0.7222	0.5035	0.2838	0.3667	0.5191	0.8576	0.6936	0.9730	0.5981	0.9867	0.8337	0.4718	0.9175	0.7596	0.9144	0.9455	0.8543
North_Deccan_dry_deciduous_forests.wkt            	0.9067	0.5627	0.3532	0.6678	0.9790	0.9119	0.9836	0.9689	0.2667	0.9984	0.8476	0.9770	0.6561	0.3248	0.9562	0.2709	0.3083	0.8061	0.9900	0.9799	0.3392	0.9705	1.0000	0.7104	0.9534	0.3278	0.8620	0.9556	0.8491	0.8676	0.8700	0.6542	0.6212	0.4157	0.2482	0.4189	0.9220	0.5887	0.9796	0.7028	0.9642	0.9063	0.3474	0.8799	0.8424	0.9649	0.9650	0.7867
Northeast_India_Myanmar_pine_forests.wkt          	0.8631	0.9217	0.8432	0.5190	0.7186	0.8989	0.7347	0.7717	-0.1155	0.7182	0.3676	0.6342	0.9905	0.8098	0.8501	0.0102	0.8193	0.5158	0.7641	0.7030	0.7990	0.7637	0.7104	1.0000	0.7171	0.7900	0.8422	0.6103	0.9008	0.9294	0.5476	0.9845	0.2270	0.0360	0.7875	0.8933	0.5380	0.9130	0.7791	0.3662	0.7579	0.4313	0.8103	0.9485	0.4610	0.6139	0.7480	0.9686
Sundarbans_mangroves.wkt                          	0.9568	0.5338	0.2953	0.6983	0.9257	0.9360	0.9321	0.9170	0.3366	0.9564	0.8369	0.9367	0.6618	0.2636	0.9491	0.3649	0.2504	0.8026	0.9481	0.9183	0.2894	0.9288	0.9534	0.7171	1.0000	0.2696	0.7945	0.9088	0.9154	0.8628	0.8580	0.6858	0.6744	0.5165	0.1991	0.3768	0.8843	0.5476	0.9799	0.7229	0.8975	0.8846	0.2869	0.8773	0.8115	0.9517	0.9880	0.7801
Karakoram_West_Tibetan_Plateau_alpine_steppe.wkt  	0.4559	0.9478	0.9773	-0.0037	0.3664	0.4881	0.3943	0.4777	-0.5440	0.3402	-0.1419	0.2190	0.8527	0.9908	0.4913	-0.4470	0.9754	0.0044	0.4338	0.3426	0.9966	0.4591	0.3278	0.7900	0.2696	1.0000	0.7108	0.2311	0.5043	0.5788	0.0289	0.8184	-0.3492	-0.5417	0.9812	0.9641	0.0658	0.9482	0.3735	-0.1895	0.4729	-0.0517	0.9934	0.6625	-0.0438	0.1483	0.3181	0.8004
Baluchistan_xeric_woodlands.wkt                   	0.8457	0.8427	0.6948	0.4239	0.8874	0.8496	0.9043	0.9410	-0.0592	0.8704	0.5363	0.8054	0.8409	0.6912	0.9076	-0.0451	0.6632	0.5314	0.9168	0.8767	0.7157	0.9331	0.8620	0.8422	0.7945	0.7108	1.0000	0.8105	0.8135	0.8393	0.6012	0.8247	0.2356	-0.0029	0.6250	0.7303	0.6898	0.8704	0.8677	0.3875	0.9334	0.6145	0.7143	0.9249	0.5789	0.7378	0.8282	0.9277
Indus_River_Delta_Arabian_Sea_mangroves.wkt       	0.8406	0.4703	0.2397	0.6776	0.9673	0.8403	0.9623	0.9355	0.2882	0.9606	0.8983	0.9668	0.5505	0.2150	0.8977	0.3145	0.1957	0.8037	0.9428	0.9659	0.2492	0.9472	0.9556	0.6103	0.9088	0.2311	0.8105	1.0000	0.7686	0.8041	0.8738	0.5413	0.6654	0.4613	0.1411	0.3083	0.9456	0.4985	0.9407	0.7438	0.9217	0.9344	0.2384	0.7976	0.8796	0.9534	0.9340	0.7020
Meghalaya_subtropical_forests.wkt                 	0.9836	0.7234	0.5517	0.6610	0.8307	0.9813	0.8420	0.8511	0.1507	0.8526	0.6267	0.7991	0.8672	0.5124	0.9454	0.2275	0.5150	0.7090	0.8696	0.8165	0.5212	0.8603	0.8491	0.9008	0.9154	0.5043	0.8135	0.7686	1.0000	0.9359	0.7471	0.8917	0.5249	0.3677	0.4711	0.6320	0.7260	0.7219	0.9224	0.5885	0.8299	0.6804	0.5246	0.9573	0.6537	0.8116	0.9093	0.8969
Chin_Hills_Arakan_Yoma_montane_forests.wkt        	0.9244	0.7801	0.6404	0.7066	0.8688	0.9715	0.8693	0.8642	0.0544	0.8737	0.6361	0.8262	0.8863	0.5951	0.9278	0.1832	0.6065	0.7500	0.8827	0.8473	0.5938	0.8701	0.8676	0.9294	0.8628	0.5788	0.8393	0.8041	0.9359	1.0000	0.7819	0.8810	0.5035	0.2981	0.5612	0.7089	0.7680	0.7771	0.9065	0.6105	0.8483	0.6904	0.5982	0.9554	0.6995	0.8161	0.8902	0.9183
